Year	minTime	maxTime	avgTime	medianTime	sdTime	madTime
1950	120	213	169.581081081081	170.5	19.7649499134659	20.0151
1951	94	246	167.245689655172	169	23.6613001375166	23.7216
1952	107	367	164.554794520548	165	29.0143913926955	22.239
1953	95	405	164.58125	161	33.988061513886	20.7564
1954	155	155	155	155	NA	0
1955	99	370	155.829457364341	155	26.866183460108	22.239
1956	93	335	153.445544554455	152	23.1309570823632	23.7216
1957	83	220	146.532258064516	145	20.0387243223365	20.7564
1958	86	410	142.883018867925	142	23.0841620829816	20.7564
1959	77	249	142.675347222222	140.5	20.5195257988498	20.0151
1960	94	282	148.224252491694	146	23.8267012062535	20.0151
1961	88	495	147.819383259912	146	25.2346279399188	20.7564
1962	90	354	149.658284023669	147	24.3875518826478	20.7564
1963	85	271	149.326747720365	148	21.6424082407631	19.2738
1964	62	219	148.880222841226	148	20.1533070943727	20.7564
1965	97	360	154.813110181311	154	23.9971761829304	22.239
1966	90	333	156.706594885599	155	22.950551487747	20.7564
1967	86	298	161.462787550744	159	26.3265846723747	22.239
1968	108	440	169.991253644315	165	34.966093013316	25.2042
1969	105	444	179.852678571429	173	37.6477202801571	26.6868
1970	98	413	185.787136294028	179	38.2410704109222	28.1694
1971	114	410	186.088188976378	179	35.3591099773021	26.6868
1972	87	516	199.961082910321	192	45.6545634176828	29.652
1973	86	391	200.811567164179	195.5	39.4101834243309	33.3585
1974	120	390	198.602822580645	197.5	37.4905444253598	30.3933
1975	117	444	200.00176056338	196.5	36.1302512947716	24.4629
1976	125	570	206.97191011236	202	40.8151596622912	28.1694
1977	118	391	207.501057082452	208	34.4496761894532	25.2042
1978	115	475	213.187637969095	209	39.5873362576322	26.6868
1979	130	437	217.878151260504	215	33.5273315927895	22.239
1980	126	396	217.362869198312	216.5	34.3102862582711	25.9455
1981	131	393	219.171568627451	219.5	34.6973573895531	28.9107
1982	126	347	217.141509433962	220	30.1936034054419	24.4629
1983	131	367	226.964601769911	225.5	33.3041294932697	26.6868
1984	146	372	232.742528735632	232	28.9771546444197	22.239
1985	146	382	236.123456790123	235	30.7951482597155	20.7564
1986	136	375	239.790931989924	238	30.8353253801694	23.7216
1987	129	352	237.572864321608	238	29.0441072956494	22.239
1988	105	361	240.8165374677	239	32.0053417724205	25.2042
1989	165	444	245.298469387755	240	34.9869569808029	25.2042
1990	170	400	247.590425531915	241	33.6568140909352	26.6868
1991	129	489	247.888311688312	243	38.8231231235879	29.652
1992	125	536	255.88948787062	246	49.9727620134262	32.6172
1993	144	423	253.593123209169	247	42.7241292122107	31.1346
1994	117	392	244.550724637681	243	41.2358983055589	32.6172
1995	127	455	249.927170868347	248	38.1671407898817	34.0998
1996	156	410	250.237654320988	249	37.4477014310407	31.1346
1997	155	443	247.671554252199	243	37.8282968345222	34.0998
1998	149	392	239.742774566474	238	34.6115548661207	29.652
1999	142	429	235.387301587302	235	39.2779070008086	32.6172
2000	156	470	242.425867507886	236	42.4016176207442	29.652
2001	129	415	237.521594684385	233	38.9969703795287	32.6172
2002	150	370	239.46779661017	238	31.6997738177191	31.1346
2003	162	468	241.378205128205	237	36.7228856071347	30.3933
2004	129	394	235.467320261438	233	34.5882654792204	29.652
2005	130	349	231.988304093567	231	33.616255721427	29.652
2006	79	380	226.603305785124	228	33.5628739588643	29.652
2007	125	448	231.329512893983	228	37.0301642349557	34.0998
2008	116	515	236.169191919192	232	44.0237468755853	34.8411
2009	111	392	229.094036697248	226.5	40.3579143627813	34.8411
2010	111	416	231.074534161491	225	43.9454895454633	37.065
2011	98	436	226.861167002012	222	38.4779320007549	32.6172
2012	131	502	231.058823529412	226.5	39.64935809745	30.3933
2013	76	484	232.462235649547	224	46.3661409228505	35.5824
